,Jurisdiction,Date,Cumulative Case Rate,Percent
44460,Centre,2020-04-10,42.5,0.6603993473700568
40855,Erie,2020-04-10,15.6,0.2424054075052444
36469,Wayne,2020-04-10,97.4,1.513479916090436
42056,McKean,2020-04-10,9.8,0.15228032009944842
48001,Greene,2020-04-10,63.5,0.9867143190117319
10898,Forest,2020-04-10,96.6,1.5010488695517057
43534,Crawford,2020-04-10,20.1,0.31233004428560335
12151,Mifflin,2020-04-10,21.7,0.3371921373630643
10122,Sullivan,2020-04-10,16.5,0.2563903348613162
47665,Union,2020-04-10,28.9,0.44907155621163863
9101,Montgomery,2020-04-10,252.4,3.9219951829694666
9676,Cameron,2020-04-10,22.5,0.34962318390179475
42180,Clinton,2020-04-10,18.1,0.2812524279387772
47571,Luzerne,2020-04-10,433.5,6.73607334317458
38860,Lawrence,2020-04-10,58.5,0.9090202781446665
6848,Jefferson,2020-04-10,2.3,0.03573925879885013
47625,Perry,2020-04-10,34.6,0.5376427628000933
13470,Juniata,2020-04-10,145.4,2.2593427084142648
41754,Allegheny,2020-04-10,68.6,1.0659622406961387
44182,Tioga,2020-04-10,32.0,0.49724186154921923
42328,Lehigh,2020-04-10,439.7,6.83241395384974
8675,Monroe,2020-04-10,458.7,7.127651309144589
38647,Chester,2020-04-10,102.3,1.5896200761401602
45080,Mercer,2020-04-10,35.6,0.5531815709735064
42321,Huntingdon,2020-04-10,24.4,0.37914691943127965
196,Philadelphia,2020-04-10,390.0,6.06013518763111
31366,Fayette,2020-04-10,41.0,0.6370911351099372
30989,Somerset,2020-04-10,13.6,0.21132779115841818
45368,York,2020-04-10,68.1,1.058192836609432
9812,Blair,2020-04-10,8.2,0.1274182270219874
45789,Clearfield,2020-04-10,12.6,0.19578898298500508
12470,Sullivan,2020-04-11,16.5,0.24370070599356042
10024,Forest,2020-04-11,96.6,1.4267568605441174
40912,Lehigh,2020-04-11,454.9,6.718754615543674
8659,Monroe,2020-04-11,467.5,6.904853336484211
46336,Adams,2020-04-11,47.6,0.7030396124420288
6514,Northumberland,2020-04-11,42.9,0.633621835583257
45209,Chester,2020-04-11,107.6,1.5892239978731577
47684,Somerset,2020-04-11,16.3,0.2407467580421233
